48, Bonjibod, 2018-11-15 15:38:50, Assessment - DETAILS, tbl_assessment_details, ADD, 1696
48, Bonjibod, 2018-11-15 15:38:50, Business Lines, tbl_application_business_line, UPDATE, 1696
48, Bonjibod, 2018-11-15 15:38:50, Application - EMPLOYEES, tbl_application_form, UPDATE, 1696
47, Sarabia, 2018-11-15 15:38:54, Assessment - DETAILS, tbl_assessment_details, ADD, 1695
47, Sarabia, 2018-11-15 15:38:54, Business Lines, tbl_application_business_line, UPDATE, 1695
47, Sarabia, 2018-11-15 15:38:54, Application - EMPLOYEES, tbl_application_form, UPDATE, 1695
52, Pabalan, 2018-11-15 15:39:00, Assessment - DETAILS, tbl_assessment_details, ADD, 1697
52, Pabalan, 2018-11-15 15:39:00, Business Lines, tbl_application_business_line, UPDATE, 1697
52, Pabalan, 2018-11-15 15:39:00, Application - EMPLOYEES, tbl_application_form, UPDATE, 1697
47, Sarabia, 2018-11-15 15:39:05, Assessment - ASSESSED, tbl_assessment, ADD, 1695
47, Sarabia, 2018-11-15 15:39:05, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1695
47, Sarabia, 2018-11-15 15:39:05, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1695
52, Pabalan, 2018-11-15 15:39:42, Assessment - ASSESSED, tbl_assessment, ADD, 1697
52, Pabalan, 2018-11-15 15:39:42, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1697
52, Pabalan, 2018-11-15 15:39:42, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1697
48, Bonjibod, 2018-11-15 15:39:44, Assessment - ASSESSED, tbl_assessment, ADD, 1696
48, Bonjibod, 2018-11-15 15:39:44, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1696
48, Bonjibod, 2018-11-15 15:39:44, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1696
47, Sarabia, 2018-11-15 15:41:13, Assessment - DETAILS, tbl_assessment_details, ADD, 1698
47, Sarabia, 2018-11-15 15:41:13, Business Lines, tbl_application_business_line, UPDATE, 1698
47, Sarabia, 2018-11-15 15:41:13, Application - EMPLOYEES, tbl_application_form, UPDATE, 1698
47, Sarabia, 2018-11-15 15:41:23, Assessment - ASSESSED, tbl_assessment, ADD, 1698
47, Sarabia, 2018-11-15 15:41:23, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1698
47, Sarabia, 2018-11-15 15:41:23, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1698
48, Bonjibod, 2018-11-15 15:43:49, Assessment - DETAILS, tbl_assessment_details, ADD, 1700
48, Bonjibod, 2018-11-15 15:43:49, Business Lines, tbl_application_business_line, UPDATE, 1700
48, Bonjibod, 2018-11-15 15:43:49, Application - EMPLOYEES, tbl_application_form, UPDATE, 1700
48, Bonjibod, 2018-11-15 15:44:00, Assessment - ASSESSED, tbl_assessment, ADD, 1700
48, Bonjibod, 2018-11-15 15:44:00, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1700
48, Bonjibod, 2018-11-15 15:44:00, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1700
52, Pabalan, 2018-11-15 15:46:01, Assessment - DETAILS, tbl_assessment_details, ADD, 1701
52, Pabalan, 2018-11-15 15:46:01, Business Lines, tbl_application_business_line, UPDATE, 1701
52, Pabalan, 2018-11-15 15:46:01, Application - EMPLOYEES, tbl_application_form, UPDATE, 1701
52, Pabalan, 2018-11-15 15:46:07, Assessment - ASSESSED, tbl_assessment, ADD, 1701
52, Pabalan, 2018-11-15 15:46:07, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1701
52, Pabalan, 2018-11-15 15:46:07, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1701
25, Bermejo, 2018-11-15 16:10:46, Assessment - APPROVED, tbl_assessment, UPDATE, 1695
70, Bermejo, 2018-11-15 16:21:39, Assessment - APPROVED, tbl_assessment, UPDATE, 1698
70, Bermejo, 2018-11-15 16:25:13, Assessment - APPROVED, tbl_assessment, UPDATE, 1701
70, Bermejo, 2018-11-15 16:25:55, Assessment - APPROVED, tbl_assessment, UPDATE, 1696
70, Bermejo, 2018-11-15 16:26:27, Assessment - APPROVED, tbl_assessment, UPDATE, 1700
48, Bonjibod, 2018-12-04 15:05:58, Assessment - DETAILS, tbl_assessment_details, ADD, 1764
48, Bonjibod, 2018-12-04 15:05:58, Business Lines, tbl_application_business_line, UPDATE, 1764
48, Bonjibod, 2018-12-04 15:05:58, Application - EMPLOYEES, tbl_application_form, UPDATE, 1764
48, Bonjibod, 2018-12-04 15:06:34, Assessment - ASSESSED, tbl_assessment, ADD, 1764
48, Bonjibod, 2018-12-04 15:06:34, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1764
48, Bonjibod, 2018-12-04 15:06:34, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1764
70, Bermejo, 2018-12-04 15:22:39, Assessment - APPROVED, tbl_assessment, UPDATE, 1764
47, Sarabia, 2018-12-04 15:29:33, Assessment - DETAILS, tbl_assessment_details, ADD, 1771
47, Sarabia, 2018-12-04 15:29:33, Business Lines, tbl_application_business_line, UPDATE, 1771
47, Sarabia, 2018-12-04 15:29:33, Application - EMPLOYEES, tbl_application_form, UPDATE, 1771
47, Sarabia, 2018-12-04 15:30:25, Assessment - ASSESSED, tbl_assessment, ADD, 1771
47, Sarabia, 2018-12-04 15:30:25, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1771
47, Sarabia, 2018-12-04 15:30:25, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1771
70, Bermejo, 2018-12-04 15:40:24, Assessment - APPROVED, tbl_assessment, UPDATE, 1771
48, Bonjibod, 2018-12-04 15:41:08, Assessment - DETAILS, tbl_assessment_details, ADD, 1770
48, Bonjibod, 2018-12-04 15:41:08, Business Lines, tbl_application_business_line, UPDATE, 1770
48, Bonjibod, 2018-12-04 15:41:08, Application - EMPLOYEES, tbl_application_form, UPDATE, 1770
48, Bonjibod, 2018-12-04 15:41:18, Assessment - ASSESSED, tbl_assessment, ADD, 1770
48, Bonjibod, 2018-12-04 15:41:18, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1770
48, Bonjibod, 2018-12-04 15:41:18, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1770
70, Bermejo, 2018-12-04 15:43:52, Assessment - APPROVED, tbl_assessment, UPDATE, 1770
47, Sarabia, 2018-12-04 15:47:26, Assessment - DETAILS, tbl_assessment_details, ADD, 1775
47, Sarabia, 2018-12-04 15:47:26, Business Lines, tbl_application_business_line, UPDATE, 1775
47, Sarabia, 2018-12-04 15:47:26, Application - EMPLOYEES, tbl_application_form, UPDATE, 1775
47, Sarabia, 2018-12-04 15:47:44, Assessment - ASSESSED, tbl_assessment, ADD, 1775
47, Sarabia, 2018-12-04 15:47:44, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1775
47, Sarabia, 2018-12-04 15:47:44, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1775
70, Bermejo, 2018-12-04 15:50:22, Assessment - APPROVED, tbl_assessment, UPDATE, 1775
48, Bonjibod, 2018-12-04 16:03:45, Assessment - DETAILS, tbl_assessment_details, ADD, 1767
48, Bonjibod, 2018-12-04 16:03:45, Business Lines, tbl_application_business_line, UPDATE, 1767
48, Bonjibod, 2018-12-04 16:03:45, Application - EMPLOYEES, tbl_application_form, UPDATE, 1767
48, Bonjibod, 2018-12-04 16:04:04, Assessment - ASSESSED, tbl_assessment, ADD, 1767
48, Bonjibod, 2018-12-04 16:04:04, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1767
48, Bonjibod, 2018-12-04 16:04:04, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1767
70, Bermejo, 2018-12-04 16:05:18, Assessment - APPROVED, tbl_assessment, UPDATE, 1767
47, Sarabia, 2018-12-05 09:57:26, Assessment - DETAILS, tbl_assessment_details, ADD, 1
47, Sarabia, 2018-12-05 09:57:26, Business Lines, tbl_application_business_line, UPDATE, 1
47, Sarabia, 2018-12-05 09:57:26, Application - EMPLOYEES, tbl_application_form, UPDATE, 1
47, Sarabia, 2018-12-05 09:57:40, Assessment - ASSESSED, tbl_assessment, ADD, 1
47, Sarabia, 2018-12-05 09:57:40, Assessment - ASSESSED, tbl_assessment_fees, ADD, 1
47, Sarabia, 2018-12-05 09:57:40, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 1
70, Bermejo, 2018-12-05 09:58:30, Assessment - APPROVED, tbl_assessment, UPDATE, 1
48, Bonjibod, 2018-12-05 10:08:39, Assessment - DETAILS, tbl_assessment_details, ADD, 4
48, Bonjibod, 2018-12-05 10:08:39, Business Lines, tbl_application_business_line, UPDATE, 4
48, Bonjibod, 2018-12-05 10:08:39, Application - EMPLOYEES, tbl_application_form, UPDATE, 4
48, Bonjibod, 2018-12-05 10:08:45, Assessment - ASSESSED, tbl_assessment, ADD, 4
48, Bonjibod, 2018-12-05 10:08:45, Assessment - ASSESSED, tbl_assessment_fees, ADD, 4
48, Bonjibod, 2018-12-05 10:08:45, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 4
52, Pabalan, 2018-12-05 10:08:57, Assessment - DETAILS, tbl_assessment_details, ADD, 2
52, Pabalan, 2018-12-05 10:08:57, Business Lines, tbl_application_business_line, UPDATE, 2
52, Pabalan, 2018-12-05 10:08:57, Application - EMPLOYEES, tbl_application_form, UPDATE, 2
52, Pabalan, 2018-12-05 10:09:15, Assessment - ASSESSED, tbl_assessment, ADD, 2
52, Pabalan, 2018-12-05 10:09:15, Assessment - ASSESSED, tbl_assessment_fees, ADD, 2
52, Pabalan, 2018-12-05 10:09:15, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 2
70, Bermejo, 2018-12-05 10:10:01, Assessment - APPROVED, tbl_assessment, UPDATE, 2
70, Bermejo, 2018-12-05 10:10:40, Assessment - APPROVED, tbl_assessment, UPDATE, 4
52, Pabalan, 2018-12-05 10:19:54, Assessment - DETAILS, tbl_assessment_details, ADD, 7
52, Pabalan, 2018-12-05 10:19:54, Business Lines, tbl_application_business_line, UPDATE, 7
52, Pabalan, 2018-12-05 10:19:54, Application - EMPLOYEES, tbl_application_form, UPDATE, 7
52, Pabalan, 2018-12-05 10:19:59, Assessment - ASSESSED, tbl_assessment, ADD, 7
52, Pabalan, 2018-12-05 10:19:59, Assessment - ASSESSED, tbl_assessment_fees, ADD, 7
52, Pabalan, 2018-12-05 10:19:59, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 7
52, Pabalan, 2018-12-05 10:20:08, Assessment - ASSESSED, tbl_assessment_fees, UPDATE, 7
48, Bonjibod, 2018-12-05 10:21:26, Assessment - DETAILS, tbl_assessment_details, ADD, 3
48, Bonjibod, 2018-12-05 10:21:26, Business Lines, tbl_application_business_line, UPDATE, 3
48, Bonjibod, 2018-12-05 10:21:26, Application - EMPLOYEES, tbl_application_form, UPDATE, 3
48, Bonjibod, 2018-12-05 10:21:29, Assessment - ASSESSED, tbl_assessment, ADD, 3
48, Bonjibod, 2018-12-05 10:21:29, Assessment - ASSESSED, tbl_assessment_fees, ADD, 3
48, Bonjibod, 2018-12-05 10:21:29, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 3
70, Bermejo, 2018-12-05 10:21:44, Assessment - APPROVED, tbl_assessment, UPDATE, 7
70, Bermejo, 2018-12-05 10:23:03, Assessment - APPROVED, tbl_assessment, UPDATE, 3
47, Sarabia, 2018-12-05 10:25:11, Assessment - DETAILS, tbl_assessment_details, ADD, 6
47, Sarabia, 2018-12-05 10:25:11, Business Lines, tbl_application_business_line, UPDATE, 6
47, Sarabia, 2018-12-05 10:25:11, Application - EMPLOYEES, tbl_application_form, UPDATE, 6
47, Sarabia, 2018-12-05 10:25:21, Assessment - ASSESSED, tbl_assessment, ADD, 6
47, Sarabia, 2018-12-05 10:25:21, Assessment - ASSESSED, tbl_assessment_fees, ADD, 6
47, Sarabia, 2018-12-05 10:25:21, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 6
47, Sarabia, 2018-12-05 10:26:15, Assessment - DETAILS, tbl_assessment_details, ADD, 9
47, Sarabia, 2018-12-05 10:26:15, Business Lines, tbl_application_business_line, UPDATE, 9
47, Sarabia, 2018-12-05 10:26:15, Application - EMPLOYEES, tbl_application_form, UPDATE, 9
47, Sarabia, 2018-12-05 10:26:27, Assessment - ASSESSED, tbl_assessment, ADD, 9
47, Sarabia, 2018-12-05 10:26:27, Assessment - ASSESSED, tbl_assessment_fees, ADD, 9
47, Sarabia, 2018-12-05 10:26:27, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 9
52, Pabalan, 2018-12-05 10:26:30, Assessment - DETAILS, tbl_assessment_details, ADD, 5
52, Pabalan, 2018-12-05 10:26:30, Business Lines, tbl_application_business_line, UPDATE, 5
52, Pabalan, 2018-12-05 10:26:30, Application - EMPLOYEES, tbl_application_form, UPDATE, 5
52, Pabalan, 2018-12-05 10:26:41, Assessment - ASSESSED, tbl_assessment, ADD, 5
52, Pabalan, 2018-12-05 10:26:41, Assessment - ASSESSED, tbl_assessment_fees, ADD, 5
52, Pabalan, 2018-12-05 10:26:41, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 5
70, Bermejo, 2018-12-05 10:26:54, Assessment - APPROVED, tbl_assessment, UPDATE, 6
70, Bermejo, 2018-12-05 10:27:33, Assessment - APPROVED, tbl_assessment, UPDATE, 9
70, Bermejo, 2018-12-05 10:28:04, Assessment - APPROVED, tbl_assessment, UPDATE, 5
47, Sarabia, 2018-12-05 10:30:35, Assessment - DETAILS, tbl_assessment_details, ADD, 11
47, Sarabia, 2018-12-05 10:30:35, Business Lines, tbl_application_business_line, UPDATE, 11
47, Sarabia, 2018-12-05 10:30:35, Application - EMPLOYEES, tbl_application_form, UPDATE, 11
47, Sarabia, 2018-12-05 10:30:46, Assessment - ASSESSED, tbl_assessment, ADD, 11
47, Sarabia, 2018-12-05 10:30:46, Assessment - ASSESSED, tbl_assessment_fees, ADD, 11
47, Sarabia, 2018-12-05 10:30:47, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 11
